tmdb_id,title,release_date,imdb_id,budget,revenue_tmdb,genres,runtime,country,mpaa_rating,popularity,is_franchise,director,actors,vote_average,production_companies,distributor_tmdb,release_year,domestic_total_gross,international_gross,worldwide_gross,distributor_bom,opening_weekend_revenue,opening_date_bom,mpaa_rating_bom,runtime_bom,genres_bom,percent_of_total,opening_week_revenue,bom_url
1084242,Zootopia 2,11/26/2025,tt26443597,150000000,1137000000,Animation|Comedy|Adventure|Family|Mystery,107,US,PG,409.12,1,Jared Bush,Ginnifer Goodwin|Jason Bateman|Ke Huy Quan|Fortune Feimster|Andy Samberg,7.661,Walt Disney Animation Studios,Walt Disney Animation Studios,2025,258970004.0,877700000.0,1136670004.0,Walt Disney Studios Motion PicturesSee full company information,100262540.0,"November 26, 2025
            (14 markets)",PG,1 hr 48 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Crime
    
        Family
    
        Mystery",38.72,140367556.0,https://www.boxofficemojo.com/title/tt26443597/
798645,The Running Man,11/11/2025,tt14107334,110000000,66263567,Action|Thriller|Science Fiction,133,US,R,429.96,0,Edgar Wright,Glen Powell|Josh Brolin|Colman Domingo|Lee Pace|Michael Cera,6.786,Paramount Pictures|Complete Fiction|Genre Films|Domain Entertainment,Paramount Pictures,2025,37605731.0,30800000.0,68405731.0,Paramount Pictures InternationalSee full company information,16495564.0,"November 5, 2025
            (Belgium)",R,2 hr 13 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller",43.86,23093789.0,https://www.boxofficemojo.com/title/tt14107334/
812583,Wake Up Dead Man: A Knives Out Mystery,11/26/2025,tt14364480,210000000,4000000,Thriller|Mystery|Drama,145,US,PG-13,332.88,1,Rian Johnson,Daniel Craig|Josh O'Connor|Glenn Close|Josh Brolin|Mila Kunis,7.4,T-Street,T-Street,2025,1600000.0,,1600000.0,NetflixSee full company information,600000.0,"November 26, 2025
            (Domestic)",PG-13,2 hr 24 min,"Comedy
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller",37.5,840000.0,https://www.boxofficemojo.com/title/tt14364480/
533533,TRON: Ares,10/8/2025,tt6604188,220000000,142073994,Science Fiction|Adventure|Action,119,US,PG-13,257.76,1,Joachim Rønning,Jared Leto|Greta Lee|Evan Peters|Gillian Anderson|Jodie Turner-Smith,6.549,Walt Disney Pictures|Sean Bailey Productions,Walt Disney Pictures,2025,73161014.0,69088969.0,142249983.0,Walt Disney Studios Motion PicturesSee full company information,33241433.0,"October 8, 2025
            (EMEA, APAC)",PG-13,1 hr 59 min,"Action
    
        Adventure
    
        Sci-Fi",45.44,46538006.0,https://www.boxofficemojo.com/title/tt6604188/
1228246,Five Nights at Freddy's 2,12/3/2025,tt30274401,36000000,173790015,Horror|Thriller,104,US,PG-13,242.79,1,Emma Tammi,Josh Hutcherson|Piper Rubio|Elizabeth Lail|Matthew Lillard|Freddy Carter,6.371,Blumhouse Productions|Scott Cawthon Productions|Mind Hive Films,Blumhouse Productions,2025,95481015.0,78309000.0,173790015.0,Universal Pictures International (UPI)See full company information,64007430.0,"December 3, 2025
            (EMEA, APAC)",PG-13,1 hr 44 min,"Horror
    
        Mystery
    
        Thriller",67.04,89610402.0,https://www.boxofficemojo.com/title/tt30274401/
1180831,Troll 2,11/30/2025,tt29232158,11200000,0,Action|Fantasy|Thriller,105,NO,PG-13,234.9,1,Roar Uthaug,Ine Marie Wilmann|Kim S. Falck-Jørgensen|Mads Sjøgård Pettersen|Sara Khorami|Karoline Viktoria Sletteng Garvang,6.724,Motion Blur,Motion Blur,2025,,,,,,,,1 hr 45 min,"Action
    
        Adventure
    
        Drama
    
        Fantasy
    
        Thriller",,,https://www.boxofficemojo.com/title/tt29232158/
1218925,Chainsaw Man - The Movie: Reze Arc,9/19/2025,tt30472557,4100000,168300000,Animation|Action|Romance|Fantasy,100,JP,R,205.04,0,Tatsuya Yoshihara,Kikunosuke Toya|Reina Ueda|Tomori Kusunoki|Shogo Sakata|Maaya Uchida,8.272,MAPPA,MAPPA,2025,43395704.0,110165155.0,153560859.0,Sony Pictures ReleasingSee full company information,18030883.0,"September 19, 2025
            (Japan)",R,1 hr 40 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Fantasy
    
        Romance
    
        Thriller",41.55,25243236.0,https://www.boxofficemojo.com/title/tt30472557/
23527,First Squad: The Moment of Truth,5/13/2009,tt1343712,0,0,Fantasy|Animation|Action|Science Fiction,73,CA,,162.16,0,Yoshiharu Ashino,Sergei Aisman|Michael Beskorovainy|Elena Chebaturkina|Damir Eldarov|Olga Golovanova,6.192,Molot Entertainment|STUDIO4℃|Golden Network Asia,Molot Entertainment,2009,,292377.0,292377.0,,,"October 15, 2009
            (Russia/CIS)",,1 hr 13 min,"Action
    
        Animation
    
        Drama
    
        History
    
        Sci-Fi
    
        War",,,https://www.boxofficemojo.com/title/tt1343712/
1242898,Predator: Badlands,11/5/2025,tt31227572,105000000,181115374,Action|Science Fiction|Adventure,107,US,PG-13,156.82,1,Dan Trachtenberg,Elle Fanning|Dimitrius Schuster-Koloamatangi|Ravi Narayan|Michael Homick|Stefan Grube,7.337,20th Century Studios|Lawrence Gordon Productions|Davis Entertainment|Toberoff Productions|TSG Entertainment,20th Century Studios,2025,90023799.0,91811575.0,181835374.0,Walt Disney Studios Motion PicturesSee full company information,40016853.0,"November 5, 2025
            (APAC, EMEA)",PG-13,1 hr 47 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller",44.45,56023594.0,https://www.boxofficemojo.com/title/tt31227572/
755898,War of the Worlds,7/29/2025,tt13186306,0,0,Science Fiction|Thriller,91,US,PG-13,157.84,0,Rich Lee,Ice Cube|Eva Longoria|Clark Gregg|Iman Benson|Henry Hunter Hall,4.275,Universal Pictures|Bazelevs|Patrick Aiello Productions,Universal Pictures,2025,,,,,,,PG-13,1 hr 31 min,"Horror
    
        Sci-Fi
    
        Thriller",,,https://www.boxofficemojo.com/title/tt13186306/
